year,domestic,swt_export,swt_import,swt_cont_tons,cont_tons,cont_teu,foreign_val,nation_tot,port_rank,import,export,us_foreign,us_export,
2005,0,10727831168,19810609651,6964608381,3149876,822913,3597028,2075839059,2,66372161,2778554,1278694201308,307553120715,
2006,0,10727831168,19810609651,6964608381,3149876,822913,3597028,2075839059,2,66372161,2778554,1278694201308,307553120715,
2007,0,10780005450,21984603301,7789208322,3292812,816085,3694218,2081461173,2,64200769,3158290,1398652516248,375257843225,
2008,0,11390010323,22593901411,7043180850,3260100,852567,3712480,2580754491,4,61490347,4281014,1623812014124,471331379742,
2009,0,10010055320,20406408648,4150059230,2740754,749464,3407670,2313959793,4,57138730,4654733,1162413199045,367077397370,
2010,0,10875626687,22141032028,4525354922,2990691,784813,3855429,2446385498,4,47696459,2920645,1434000647661,455066205341,
2011,0,11965279143,23201088828,5146605613,3181293,796859,3977065,2494863479,4,44831308,4653907,1730673553328,571350569028,
2012,0,12929634907,23759345378,6312362611,3297073,822174,4028176,2465344704,4,33327691,3912461,1781518505098,591415774980,
2013,0,13670319205,24307714207,6905436191,4158105,817648,4283816,2462739020,4,33914728,5238390,1746989358137,598485290848,
2014,0,14787456932,26533042429,7295521138,4635255,862432,4501423,2590170884,4,26695269,4753328,1752219167991,600690691647,
2015,0,14868036749,29734917417,8016546437,4838701,881671,4623893,2529992031,4,30251240,4701417,1562538164611,510203729091,
2016,0,15536738591,28425415404,8339243207,4838701,955605,4806350,2529992031,4,30251240,4701417,1562538164611,510203729091,
