year,domestic,swt_export,swt_import,swt_cont_tons,cont_tons,cont_teu,foreign_val,nation_tot,port_rank,import,export,us_foreign,us_export,
2002,35164828,1175019,61166623,3328687,1840150,186147,24929918704,2495048440,4,61166623,1175019,758849000000,197533805961,
2003,0,85565125,4501516846,5008140687,1840150,186147,2737307,2495048440,4,61166623,1175019,758849000000,197533805961,
2004,0,107419967,4668236178,5008140687,1840150,186147,3099224,2495048440,4,61166623,1175019,758849000000,197533805961,
2005,0,159066177,5008140687,5008140687,1840150,186147,3121267,2495048440,4,61166623,1175019,758849000000,197533805961,
2006,0,63126526,6964608381,6964608381,3149876,290359,3173550,2075839059,2,66372161,2778554,1278694201308,307553120715,
2007,0,132110333,7789208322,7789208322,3292812,365039,2332328,2081461173,2,64200769,3158290,1398652516248,375257843225,
2008,0,70784752,7043180850,7043180850,3260100,381339,1821357,2580754491,4,61490347,4281014,1623812014124,471331379742,
2009,0,52941737,4150059230,4150059230,2740754,299962,1109097,2313959793,4,57138730,4654733,1162413199045,367077397370,
2010,0,87804661,4525354922,4525354922,2990691,346869,1272470,2446385498,4,47696459,2920645,1434000647661,455066205341,
2011,0,106407025,5146605613,5146605613,3181293,363268,1385324,2494863479,4,44831308,4653907,1730673553328,571350569028,
2012,0,259002531,6312362611,6312362611,3297073,360307,1333306,2465344704,4,33327691,3912461,1781518505098,591415774980,
2013,0,115501410,6905436191,6905436191,4158105,414311,1224617,2462739020,4,33914728,5238390,1746989358137,598485290848,
2014,0,174634892,7295521138,7295521138,4635255,457574,1407526,2590170884,4,26695269,4753328,1752219167991,600690691647,
2015,0,325442010,8016546437,8016546437,4838701,477144,1445229,2529992031,4,30251240,4701417,1562538164611,510203729091,
2016,0,1191462742,8339243207,8339243207,4838701,477144,1555001,2529992031,4,30251240,4701417,1562538164611,510203729091,
2017,0,1191462742,6919384439,6919384439,4838701,477144,0,2529992031,4,30251240,4701417,1562538164611,510203729091,
